epoch,loss
1,59.109163451792945
2,57.41022685608129
3,57.22467339765214
4,57.1200382068593
5,57.06495254270492
6,57.00508918557116
7,56.96140254441128
8,56.93133384950699
9,56.91215410540181
10,56.89514565895108
11,56.871146154232775
12,56.86370584358024
13,56.85026593020313
14,56.83338472578261
15,56.82794381897082
16,56.817842750139135
17,56.8180170093386
18,56.80177923428115
19,56.810185466615955
20,56.78023654842035
21,56.78182664139724
22,56.774750111350876
23,56.78616794804945
24,56.757077558920805
25,56.7605838160361
26,56.7681511362821
27,56.748881268244915
28,56.74526692120405
29,56.74647821747701
30,56.74217074746299
31,56.74434822861866
32,56.731880475116036
33,56.72461933559842
34,56.7448577983405
35,56.7350439632238
36,56.73747098915893
37,56.72756643192742
38,56.713035730478154
39,56.72568923512667
40,56.73117681728896
41,56.72043263014927
42,56.72276271286831
43,56.69982670883124
44,56.70849961448314
45,56.729695555984335
46,56.70937340233915
47,56.71258812907776
48,56.69990185084736
49,56.702959214487386
50,56.70627935471073
51,56.72817857803837
52,56.70103104225623
53,56.701170938416624
54,56.71963210088805
55,56.688225271026724
56,56.70413768590565
57,56.69991660374467
58,56.691188159382044
59,56.693168917009906
60,56.69710343883884
