epoch,accuracy
1,0.9860406091370558
2,0.9847715736040609
3,0.9863352066715011
4,0.9814403553299492
5,0.9887373096446701
6,0.9885786802030457
7,0.9850888324873096
8,0.9861765772298767
9,0.9895304568527918
10,0.9858819796954315
11,0.9903009427121102
12,0.9910940899202321
13,0.9865164974619289
14,0.988261421319797
15,0.9915926395939086
16,0.9914340101522843
17,0.9914340101522843
18,0.9896890862944162
19,0.9901649746192893
20,0.9904822335025381
21,0.9917286076867295
22,0.9904822335025381
23,0.9919098984771574
24,0.9888959390862944
25,0.9928390137781001
26,0.9892131979695431
27,0.9914340101522843
28,0.991751269035533
29,0.9907994923857868
30,0.9920458665699783
31,0.9923857868020305
32,0.9914340101522843
33,0.9895304568527918
34,0.993496192893401
35,0.9887373096446701
36,0.9910940899202321
37,0.9919098984771574
38,0.990006345177665
39,0.9904595721537346
40,0.9920685279187818
41,0.9925444162436549
42,0.9914340101522843
43,0.9925217548948514
44,0.9920685279187818
45,0.9915926395939086
46,0.9877628716461204
47,0.9911167512690355
48,0.9910940899202321
49,0.9909581218274112
50,0.9895304568527918
51,0.9895304568527918
52,0.9904822335025381
53,0.9904822335025381
54,0.9904595721537346
55,0.9918872371283539
56,0.9909354604786077
57,0.9915926395939086
58,0.9919098984771574
59,0.988261421319797
60,0.9925444162436549
