epoch,loss
1,60.248014255236555
2,58.52611477486121
3,58.19348075825681
4,57.99528010515329
5,57.856724328892206
6,57.75285668185108
7,57.66700351537342
8,57.61102457285782
9,57.558474198891695
10,57.49841281931887
11,57.47056878339433
12,57.42783575844167
13,57.38999247123691
14,57.36205038460352
15,57.33194999968279
16,57.30321591900241
17,57.27518171563371
18,57.24708129855467
19,57.2267944855502
20,57.21206516347905
21,57.19138198770503
22,57.17196278247355
23,57.154629423626865
24,57.14584789823033
25,57.133130685402925
26,57.115472140705286
27,57.10071684382722
28,57.08264700571696
29,57.07855453969757
30,57.060826486156834
31,57.051701668770086
32,57.047861362443605
33,57.031635605733456
34,57.03812198570552
35,57.01767501694327
36,57.00789945869035
37,57.002311217742154
38,56.99182593096114
39,56.98701350236024
40,56.97955529749607
41,56.96846712447409
42,56.963366939175515
43,56.96196042337725
44,56.9570823074669
45,56.94767332247936
46,56.93585353769282
47,56.94513355446546
48,56.93091039076501
49,56.925373398702206
50,56.9261904959183
51,56.91210035440315
52,56.91726612788375
53,56.90327211605605
54,56.901537549965695
55,56.9013611373081
56,56.89223360588046
57,56.89890316652141
58,56.87681140352748
59,56.88333917433216
60,56.876541216313626
