epoch,accuracy
1,0.8823875997099347
2,0.9043011240029007
3,0.9042784626540972
4,0.9163116388687454
5,0.9211158448150835
6,0.9209798767222626
7,0.926327955039884
8,0.9321065989847716
9,0.9320612762871647
10,0.9318799854967368
11,0.9327184554024656
12,0.9450915518491662
13,0.9354151559100798
14,0.9404686366932561
15,0.9390183103698332
16,0.9374546773023931
17,0.9440717911530094
18,0.9349392675852067
19,0.9427347715736041
20,0.9452275199419871
21,0.9455901015228426
22,0.9465192168237854
23,0.9408085569253082
24,0.9471084118926758
25,0.9490572878897753
26,0.9496464829586657
27,0.9487626903553299
28,0.951119470630892
29,0.949374546773024
30,0.9496691443074693
31,0.9483774474256708
32,0.9531589920232053
33,0.9501450326323424
34,0.9530003625815809
35,0.9460659898477157
36,0.9536575416968819
37,0.949850435097897
38,0.9559010152284264
39,0.9547906091370558
40,0.9541107686729515
41,0.9545866569978246
42,0.953476250906454
43,0.9531816533720088
44,0.9609544960116027
45,0.9528870558375635
46,0.955039883973894
47,0.9557197244379986
48,0.9547679477882524
49,0.955742385786802
50,0.9560369833212473
51,0.9579631979695431
52,0.9535215736040609
53,0.9560596446700508
54,0.9598440899202321
55,0.9602973168963017
56,0.9577592458303119
57,0.9595494923857868
58,0.9587336838288615
59,0.9597081218274112
60,0.9577819071791154
