epoch,loss
1,4.43119946026033
2,2.9949535011817905
3,2.7080853625224055
4,2.538418301651555
5,2.433132087244355
6,2.3216087952736886
7,2.246705092302787
8,2.189863249072037
9,2.1514689031467644
10,2.11053203169163
11,2.0684036410623983
12,2.0341198988071905
13,1.994117327381633
14,1.9649192593644598
15,1.9472341632543926
16,1.9289965459736444
17,1.898768794899773
18,1.8757039624196228
19,1.868554854158005
20,1.8387756609361232
21,1.8250441681526894
22,1.8065324531447502
23,1.797717440085599
24,1.7665486824982481
25,1.7745446902449413
26,1.7511632160473896
27,1.7397313406390529
28,1.7265171659676404
29,1.727378316250326
30,1.6997669432111966
31,1.7082075500146463
32,1.7024737850739537
33,1.6865698334136745
34,1.683779812948678
35,1.6605355812229992
36,1.6684117773314104
37,1.6541450758561438
38,1.656076456483547
39,1.6448431770220453
40,1.636809424847685
41,1.634032483810165
42,1.6190550410085254
43,1.6200063194425303
44,1.6235784541107847
45,1.6197686366817003
46,1.606489898590204
47,1.6038190114134956
48,1.5900926961693713
49,1.5883825378071876
50,1.5980690357719272
51,1.5812923573892177
52,1.5810202661380972
53,1.5826105391573309
54,1.5762231078626434
55,1.5656625418039205
56,1.5656137623987745
57,1.5683436122419159
58,1.5562783203031
59,1.5596191141233648
60,1.5628911205517348
