epoch,accuracy
1,0.956354242204496
2,0.9642857142857143
3,0.9670957215373459
4,0.9711067802755621
5,0.9709708121827412
6,0.9717186366932561
7,0.9723984771573604
8,0.973508883248731
9,0.9738261421319797
10,0.9758883248730964
11,0.9782677664974619
12,0.9698150833937637
13,0.976998730964467
14,0.9766814720812182
15,0.9796274474256708
16,0.9780864757070341
17,0.9784263959390863
18,0.9785850253807107
19,0.9793328498912256
20,0.9793781725888325
21,0.9773159898477157
22,0.981757614213198
23,0.9803299492385786
24,0.9799900290065265
25,0.9828453589557651
26,0.9803299492385786
27,0.981100435097897
28,0.9793781725888325
29,0.9817349528643945
30,0.9804659173313997
31,0.9815763234227701
32,0.9812590645395214
33,0.9811230964467005
34,0.9799900290065265
35,0.9815989847715736
36,0.981100435097897
37,0.9806472081218274
38,0.9817122915155911
39,0.9814403553299492
40,0.9807831762146484
41,0.9822335025380711
42,0.9814403553299492
43,0.9827093908629442
44,0.9822335025380711
45,0.9819162436548223
46,0.9823468092820885
47,0.9815763234227701
48,0.9830039883973894
49,0.9833212472806382
50,0.9827093908629442
51,0.981757614213198
52,0.9808058375634517
53,0.9809644670050761
54,0.9826867295141407
55,0.9828680203045685
56,0.9831852791878173
57,0.9820748730964467
58,0.9812817258883249
59,0.9806472081218274
60,0.982369470630892
