epoch,accuracy
1,0.9828680203045685
2,0.9820522117476432
3,0.9872869833212473
4,0.9903236040609137
5,0.9868337563451777
6,0.9868337563451777
7,0.9885786802030457
8,0.9888959390862944
9,0.9931789340101523
10,0.9904822335025381
11,0.9887146482958666
12,0.991751269035533
13,0.9885786802030457
14,0.992363125453227
15,0.9906408629441624
16,0.9920685279187818
17,0.9903236040609137
18,0.9855647208121827
19,0.9923857868020305
20,0.9907994923857868
21,0.9909581218274112
22,0.9909354604786077
23,0.9920685279187818
24,0.9901649746192893
25,0.988261421319797
26,0.9923857868020305
27,0.9914340101522843
28,0.9914340101522843
29,0.9909581218274112
30,0.9912753807106599
31,0.9927030456852792
32,0.9933375634517766
33,0.9925217548948514
34,0.9912753807106599
35,0.9925444162436549
36,0.9915926395939086
37,0.9925444162436549
38,0.9928390137781001
39,0.9938134517766497
40,0.9927030456852792
41,0.9931789340101523
42,0.9925217548948514
43,0.9903009427121102
44,0.9922044960116027
45,0.9933375634517766
46,0.9927030456852792
47,0.9923857868020305
48,0.9915926395939086
49,0.993020304568528
50,0.9923857868020305
51,0.9928390137781001
52,0.9933375634517766
53,0.9915926395939086
54,0.9911167512690355
55,0.9912527193618564
56,0.993020304568528
57,0.9927030456852792
58,0.9926803843364758
59,0.993020304568528
60,0.9922271573604061
